,BorrowerState,OriginatingLender,CurrentApprovalAmount
305,ID,The Bank of Commerce,125475840
306,ID,Bank of Idaho,118571693
307,ID,First Federal Savings Bank of Twin Falls,81131166
308,ID,Banner Bank,79322280
309,ID,Columbia State Bank,57614043
310,ID,Umpqua Bank,56523537
311,ID,"Wells Fargo Bank, National Association",56039842
312,ID,Farmers Bank,44655931
313,ID,"JPMorgan Chase Bank, National Association",40443711
314,ID,Montana Community Development Corp.,38471160
315,ID,Northwest Bank,35202406
316,IL,"JPMorgan Chase Bank, National Association",3020349529
317,IL,BMO Harris Bank National Association,1875929061
318,IL,Fifth Third Bank,1840774344
319,IL,Old National Bank,1397589582
320,IL,"Wintrust Bank, National Association",1222616381
321,IL,CIBC Bank USA,1010112440
322,IL,"Bank of America, National Association",952181462
323,IL,Cross River Bank,922104443
324,IL,"PNC Bank, National Association",894278821
325,IL,"Capital Plus Financial, LLC",886611922
326,IL,"Harvest Small Business Finance, LLC",816250471
327,IL,Byline Bank,745083544
328,IL,Busey Bank,726535600
329,IL,"U.S. Bank, National Association",576731125
330,IL,The Huntington National Bank,570839022
331,IL,Old Second National Bank,512241992
332,IL,"Prestamos CDFI, LLC",501740386
333,IL,Itria Ventures LLC,425329352
334,IL,"Wheaton Bank & Trust Company, National Association",397027695
335,IL,First American Bank,379708020
336,IN,Old National Bank,911061122
337,IN,"JPMorgan Chase Bank, National Association",865315605
338,IN,First Merchants Bank,811085109
339,IN,Lake City Bank,709867192
340,IN,1st Source Bank,614342603
341,IN,"PNC Bank, National Association",596581552
342,IN,The Huntington National Bank,469875396
343,IN,First Financial Bank,463496933
344,IN,Fifth Third Bank,423449173
345,IN,German American Bank,416184313
346,IN,Centier Bank,405024281
347,IN,The National Bank of Indianapolis,387108830
348,IN,STAR Financial Bank,350822200
349,IN,BMO Harris Bank National Association,337470997
350,IN,KeyBank National Association,307608457
351,IN,Horizon Bank,274147170
352,IN,Regions Bank,174908653
353,IN,Stock Yards Bank & Trust Company,173336361
354,IN,"First Financial Bank, National Association",172760867
355,IN,First Farmers Bank & Trust Co.,168102809
356,KS,"INTRUST Bank, National Association",513577567
357,KS,Commerce Bank,470361027
358,KS,"UMB Bank, National Association",302923510
359,KS,Equity Bank,223675760
360,KS,CrossFirst Bank,209830090
361,KS,The Central Trust Bank,164445854
362,KS,Landmark National Bank,137256726
363,KS,Emprise Bank,134684060
364,KS,Country Club Bank,133802994
365,KS,Enterprise Bank & Trust,122163111
366,KS,"Fidelity Bank, National Association",111176100
367,KS,"U.S. Bank, National Association",105938443
368,KS,Community National Bank & Trust,104854507
369,KS,Bank of Blue Valley,100172368
370,KS,Peoples Bank and Trust Company,96136375
371,KS,Security Bank of Kansas City,93217711
