,BorrowerState,OriginatingLender,CurrentApprovalAmount
819,PA,Republic First Bank d/b/a Republic Bank,382279171
820,PA,Firstrust Savings Bank,356939374
821,PR,Banco Popular de Puerto Rico,1719008069
822,PR,FirstBank Puerto Rico,513345593
823,PR,Oriental Bank,438362263
824,PR,Banesco USA,35217592
825,PR,"Cooperativa de Ahorro y Cr<ac,e>dito Dr. Manuel Zeno Gand<ac,i>a",13201720
826,PR,"Bank of America, National Association",7387473
827,PR,"Cooperativa de Ahorro y Cr<ac,e>dito de Arecibo (COOPACA)",6324212
828,PR,"Cooperativa de Ahorro y Cr<ac,e>dito Jes\da\us Obrero",4401810
829,PR,Mid Penn Bank,3944100
830,PR,Puerto Rico Farm Credit,2280540
831,PR,"Cooperativa de Ahorro y Cr<ac,e>dito Oriental",2239248
832,PR,Live Oak Banking Company,1924630
833,PR,Cross River Bank,1750959
834,PR,"Cooperativa de Ahorro y Cr<ac,e>dito de Camuy (CAMUY-COOP)",1717682
835,PR,City National Bank of Florida,1678416
836,PR,Pinnacle Bank,1644795
837,PR,United Community Bank,944988
838,PR,Greater Nevada CU,885805
839,PR,"UMB Bank, National Association",738600
840,PR,Highland Bank,694500
841,RI,"Citizens Bank, National Association",528035225
842,RI,Bank Rhode Island,446888157
843,RI,The Washington Trust Company of Westerly,285525587
844,RI,"Bank of America, National Association",234220337
845,RI,BankNewport,180459810
846,RI,Webster Bank National Association,139466986
847,RI,Navigant CU,127754382
848,RI,HarborOne Bank,112810551
849,RI,Bristol County Savings Bank,86510067
850,RI,Centreville Bank,68879106
851,RI,"Santander Bank, National Association",62205357
852,RI,Rockland Trust Company,61417594
853,RI,"TD Bank, National Association",50712765
854,RI,BayCoast Bank,39995467
855,RI,Coastal1 Credit Union,34941127
856,RI,Greenwood CU,26561465
857,RI,"INTRUST Bank, National Association",24409656
858,RI,Customers Bank,17723484
859,RI,Berkshire Bank,16931733
860,RI,"JPMorgan Chase Bank, National Association",16707488
861,SC,"SouthState Bank, National Association",875070508
862,SC,First-Citizens Bank & Trust Company,726388542
863,SC,Truist Bank,642387228
864,SC,Synovus Bank,496011100
865,SC,"Bank of America, National Association",384523542
866,SC,United Community Bank,365439983
867,SC,"TD Bank, National Association",262592675
868,SC,Pinnacle Bank,230583762
869,SC,"Wells Fargo Bank, National Association",201002504
870,SC,"Prestamos CDFI, LLC",179891040
871,SC,South Atlantic Bank,139693545
872,SC,Regions Bank,136213208
873,SC,Anderson Brothers Bank,133091958
874,SC,Ameris Bank,123562522
875,SC,First Horizon Bank,122417344
876,SC,First Palmetto Bank,112373515
877,SC,"Capital Plus Financial, LLC",107243770
878,SC,Security Federal Bank,100518262
879,SC,United Bank,99787249
880,SC,Cross River Bank,99459518
881,SD,First Interstate Bank,290564431
882,SD,First Dakota National Bank,217679957
883,SD,Dacotah Bank,207561300
884,SD,First Bank & Trust,166758608
885,SD,First PREMIER Bank,145718749
886,SD,The First National Bank in Sioux Falls,131502334
887,SD,American Bank & Trust,96442915
888,SD,"BankWest, Inc",85754251
889,SD,First National Bank,84097603
890,SD,Pioneer Bank & Trust,76487557
891,SD,CorTrust Bank National Association,58725384
892,SD,"U.S. Bank, National Association",56936643
893,SD,"Farm Credit Services of America, ACA",55880914
894,SD,Plains Commerce Bank,55831110
895,SD,Black Hills FCU,40856425
896,SD,Central Bank,39144037
897,SD,Reliabank Dakota,38915577
898,SD,"Black Hills Community Bank, National Association",38101376
899,SD,First Fidelity Bank,35705679
900,SD,Security First Bank,31549930
901,TN,Pinnacle Bank,1898913127
902,TN,First Horizon Bank,1534176348
903,TN,Regions Bank,833542043
904,TN,Truist Bank,565809353
905,TN,FirstBank,317502589
906,TN,SmartBank,293146039
907,TN,Itria Ventures LLC,266412732
908,TN,CapStar Bank,251475334
909,TN,"Bank of America, National Association",247822399
910,TN,Simmons Bank,229527054
911,TN,Renasant Bank,215010978
912,TN,Cadence Bank,175614000
913,TN,"U.S. Bank, National Association",165828247
914,TN,"Prestamos CDFI, LLC",164961850
915,TN,Mountain Commerce Bank,141479298
916,TN,"Capital Plus Financial, LLC",132424047
917,TN,Cross River Bank,131317643
918,TN,Bank of Tennessee,127656257
919,TN,Wilson Bank & Trust,123825973
920,TN,United Community Bank,119750082
921,TX,"JPMorgan Chase Bank, National Association",4290142246
922,TX,"Bank of America, National Association",2227202454
923,TX,"Zions Bank, A Division of",1911404963
924,TX,Prosperity Bank,1812393423
925,TX,First Source FCU,1752138314
926,TX,Allegiance Bank,1072862501
927,TX,"Wells Fargo Bank, National Association",1020086892
928,TX,Cadence Bank,983086371
929,TX,Cross River Bank,977578953
930,TX,"First Financial Bank, National Association",961206143
931,TX,Comerica Bank,943590058
932,TX,PlainsCapital Bank,885915955
933,TX,Simmons Bank,822137858
934,TX,Texas Capital Bank,785565683
935,TX,Third Coast Bank SSB,768416205
936,TX,"BOKF, National Association",731257268
937,TX,"Prestamos CDFI, LLC",719663136
938,TX,Independent Bank,663068948
939,TX,First United Bank and Trust Company,655356532
940,TX,"Capital Plus Financial, LLC",590190964
941,UT,"Zions Bank, A Division of",1780413333
942,UT,Cache Valley Bank,752451062
943,UT,KeyBank National Association,524673815
944,UT,Mountain America FCU,413942062
945,UT,"JPMorgan Chase Bank, National Association",395373242
946,UT,Bank of Utah,225797995
947,UT,Glacier Bank,214373163
948,UT,America First FCU,164517767
949,UT,"U.S. Bank, National Association",136948318
950,UT,"Wells Fargo Bank, National Association",136481139
951,UT,State Bank of Southern Utah,133459140
952,UT,First Utah Bank,126261333
953,UT,Cross River Bank,119846646
954,UT,Goldenwest FCU,119277962
955,UT,Central Bank,113211396
956,UT,"Readycap Lending, LLC",109144383
957,UT,"Community Banks of Colorado, A Division of",109091337
958,UT,Continental Bank,97407627
959,UT,Celtic Bank Corporation,73492406
960,UT,"Bank of America, National Association",68266691
961,VA,Truist Bank,2244640188
962,VA,Atlantic Union Bank,1877359829
963,VA,Towne Bank,1218028327
964,VA,"Bank of America, National Association",919351365
965,VA,United Bank,711828081
966,VA,"Wells Fargo Bank, National Association",457844601
967,VA,"PNC Bank, National Association",456769711
968,VA,Manufacturers and Traders Trust Company,351842834
969,VA,The First Bank and Trust Company,303517436
970,VA,First-Citizens Bank & Trust Company,302876851
971,VA,Primis Bank,281405335
972,VA,Village Bank,253794345
973,VA,Sandy Spring Bank,248236167
974,VA,"Blue Ridge Bank, National Association",241109494
975,VA,American National Bank and Trust Company,227654090
976,VA,Virginia National Bank,204934619
977,VA,Cross River Bank,198957954
978,VA,MainStreet Bank,187954025
979,VA,Burke & Herbert Bank & Trust Company,185928678
980,VA,John Marshall Bank,184086416
981,VI,FirstBank Puerto Rico,49411909
982,VI,Banco Popular de Puerto Rico,43789575
983,VI,"United Fidelity Bank, FSB",36129227
984,VI,Merchants Commercial Bank,30563499
985,VI,Greater Nevada CU,12240467
986,VI,Oriental Bank,12027054
987,VI,"Bank of America, National Association",2351956
988,VI,Fountainhead SBF LLC,1183943
989,VI,Valley National Bank,1182659
990,VI,1st Source Bank,1010100
991,VI,"TransPecos Banks, SSB.",988400
992,VI,Cross River Bank,892879
993,VI,United Bank,821229
994,VI,Wallis Bank,779400
995,VI,Celtic Bank Corporation,749033
996,VI,"American Bank & Trust Company, Inc.",511841
997,VI,The Economic Development Bank for the United States Virgin Islands,493322
998,VI,Truist Bank,483623
999,VI,Byline Bank,477637
1000,VI,KeyBank National Association,393064
1001,VT,Manufacturers and Traders Trust Company,342918646
1002,VT,"TD Bank, National Association",193359354
1003,VT,Community National Bank,149960199
1004,VT,Northfield Savings Bank,139636326
1005,VT,"Community Bank, National Association",108243814
1006,VT,Mascoma Bank,86007193
1007,VT,Union Bank,83848006
1008,VT,KeyBank National Association,61586335
1009,VT,"Citizens Bank, National Association",47863908
1010,VT,The Bank of Bennington,40946579
1011,VT,Vermont 504 Corporation,38721422
1012,VT,National Bank of Middlebury,37628364
1013,VT,Passumpsic Savings Bank,31347310
1014,VT,"NBT Bank, National Association",30145341
1015,VT,The Brattleboro Savings & Loan Association,29710223
1016,VT,Peoples Trust Company of St. Albans,27394306
1017,VT,Heritage Family FCU,23381575
1018,VT,Vermont State Empl CU,22538272
1019,VT,Bar Harbor Bank & Trust,22299352
1020,VT,Berkshire Bank,19094863
1021,WA,KeyBank National Association,1407309103
1022,WA,"Bank of America, National Association",1382871318
1023,WA,Washington Trust Bank,1271820101
1024,WA,"U.S. Bank, National Association",1081832072
1025,WA,Heritage Bank,986211896
1026,WA,Banner Bank,888286490
1027,WA,Columbia State Bank,775197006
1028,WA,"JPMorgan Chase Bank, National Association",751434839
1029,WA,Coastal Community Bank,656439329
1030,WA,Umpqua Bank,646034565
1031,WA,Washington Federal Bank,539894959
1032,WA,"Zions Bank, A Division of",400273789
1033,WA,"Wells Fargo Bank, National Association",360594093
1034,WA,Peoples Bank,347652576
1035,WA,HomeStreet Bank,270147520
1036,WA,Cross River Bank,232667891
1037,WA,Timberland Bank,189937549
1038,WA,"Readycap Lending, LLC",180202248
1039,WA,Glacier Bank,167284670
1040,WA,Boeing Empl CU,164608452
1041,WI,BMO Harris Bank National Association,1555223922
1042,WI,"Associated Bank, National Association",886900858
1043,WI,Nicolet National Bank,696882928
1044,WI,Johnson Bank,674697482
1045,WI,"JPMorgan Chase Bank, National Association",527585806
1046,WI,"Bank First, N.A.",429631562
1047,WI,"U.S. Bank, National Association",406311593
1048,WI,First Business Bank,355231361
1049,WI,Old National Bank,335156488
1050,WI,"Town Bank, National Association",306614678
1051,WI,Waukesha State Bank,220641170
1052,WI,Peoples State Bank,201493002
1053,WI,"Bremer Bank, National Association",191593747
1054,WI,"PNC Bank, National Association",179586756
1055,WI,National Exchange Bank and Trust,152207570
1056,WI,The Park Bank,150280483
1057,WI,State Bank of Cross Plains,149299536
1058,WI,Citizens Community Federal National Association,146467473
1059,WI,IncredibleBank,141154670
1060,WI,One Community Bank,133297844
1061,WV,United Bank,422681911
1062,WV,"WesBanco Bank, Inc.",267401986
1063,WV,Truist Bank,243994012
1064,WV,Peoples Bank,201079608
1065,WV,The Huntington National Bank,177733243
1066,WV,City National Bank of West Virginia,84037921
1067,WV,"Summit Community Bank, Inc.",80969820
1068,WV,"JPMorgan Chase Bank, National Association",68814804
1069,WV,First United Bank & Trust,56674347
1070,WV,First Community Bank,52680626
1071,WV,"Clear Mountain Bank, Inc.",52469777
1072,WV,"MVB Bank, Inc.",49035228
1073,WV,"PNC Bank, National Association",33867594
1074,WV,"The Poca Valley Bank, Inc.",33848856
1075,WV,"Pendleton Community Bank, Inc.",33240756
1076,WV,"Community Trust Bank, Inc.",28417100
1077,WV,"Citizens Bank of West Virginia, Inc",27933916
1078,WV,Main Street Bank Corp.,24573693
1079,WV,Logan Bank & Trust Company,23910163
1080,WV,Fifth Third Bank,23229570
1081,WY,First Interstate Bank,275079044
1082,WY,Glacier Bank,145189287
1083,WY,Jonah Bank of Wyoming,80434789
1084,WY,Pinnacle Bank-Wyoming,78962854
1085,WY,First National Bank of Gillette,78526658
1086,WY,Bank of Jackson Hole,78192282
1087,WY,Hilltop National Bank,67475316
1088,WY,ANB Bank,54976882
1089,WY,Platte Valley Bank,45521535
1090,WY,The Converse County Bank,42928123
1091,WY,First Northern Bank of Wyoming,40593914
1092,WY,First Western Trust Bank,34798479
1093,WY,Security State Bank,33073184
1094,WY,NebraskaLand Bank,29246809
1095,WY,Central Bank & Trust,28871136
1096,WY,RSNB Bank,28585463
1097,WY,First Federal Bank & Trust,23556290
1098,WY,First National Bank of Omaha,21072372
1099,WY,"U.S. Bank, National Association",20812755
1100,WY,Wyoming Community Bank,18739689
